,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
132,Layar Permai PIK,2025-03-06,29.11111111111111,-6.1077,106.753,34.5396,33.14473285569085,37.47534908903798
133,Layar Permai PIK,2025-03-06,29.11111111111111,-6.1077,106.753,34.4907,33.156808324389985,37.48478492744339
134,PT Arah Environmental Indonesia,2025-03-06,19.6375,-6.22722,106.82624,36.056995,34.48094980663723,34.78848088638267
135,PT Arah Environmental Indonesia,2025-03-06,19.6375,-6.22722,106.82624,35.50894,34.60050753275553,34.57052117080416
136,Pantai Mutiara,2025-03-06,31.916666666666668,-6.1101,106.7957,31.258598,30.735394210815425,31.343596208307563
137,Pantai Mutiara,2025-03-06,31.916666666666668,-6.1101,106.7957,31.457577,30.666992363399924,31.496655983243848
138,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.88745,32.29829,28.4484313528249,30.38295001117153
139,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.88745,32.29829,28.4484313528249,30.38295001117153
140,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.88745,32.332653,28.47041757327799,30.494473100825623
141,"Pulo Mas, Kayu Putih",2025-03-06,27.941176470588236,-6.1834,106.88745,32.332653,28.47041757327799,30.494473100825623
142,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,32.29829,28.4484313528249,30.38295001117153
143,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,32.29829,28.4484313528249,30.38295001117153
144,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,32.332653,28.47041757327799,30.494473100825623
145,"Pulo Mas, Kayu Putih 2",2025-03-06,29.842105263157894,-6.1841,106.8873,32.332653,28.47041757327799,30.494473100825623
146,Puretrex Indonesia - Tegal Alur / Kalideres,2025-03-06,37.130434782608695,-6.1175,106.7274,31.231554,31.528721570968635,30.6429966185983
147,Puretrex Indonesia - Tegal Alur / Kalideres,2025-03-06,37.130434782608695,-6.1175,106.7274,31.202505,31.55617508676318,30.63634891320789
148,Puri Indah,2025-03-06,32.75,-6.1869,106.7369,33.816772,34.931374449200106,34.64098636620623
149,Puri Indah,2025-03-06,32.75,-6.1869,106.7369,34.022938,35.500978692372655,34.66771554967098
150,Rembang Bukit,2025-03-06,32.8235294117647,-6.2805,106.7789,36.034588,36.305871645609535,35.08958996577237
151,Rembang Bukit,2025-03-06,32.8235294117647,-6.2805,106.7789,36.008114,36.10593725734287,34.60245261892024
152,RespoKare Mask - Wisma 76,2025-03-06,30.045454545454547,-6.19088,106.79804,34.872784,35.10394240697226,34.43323096540883
153,RespoKare Mask - Wisma 76,2025-03-06,30.045454545454547,-6.19088,106.79804,34.811584,34.95143498526679,34.20434346886965
154,Semanggi,2025-03-06,38.80952380952381,-6.2171,106.8115,34.98882,34.78492194493611,33.92328915264255
155,Semanggi,2025-03-06,38.80952380952381,-6.2171,106.8115,34.45141,34.890073178609214,33.70532943706404
156,Simprug THL Area,2025-03-06,28.5,-6.2279,106.7936,38.056908,36.26118772612677,37.59990838186032
157,Simprug THL Area,2025-03-06,28.5,-6.2279,106.7936,37.994373,36.184121970070734,37.30869299841555
158,TANGKAS SPORTS CENTRE,2025-03-06,32.68181818181818,-6.1689,106.7772,33.745525,33.85506637255351,32.94567031758027
159,TANGKAS SPORTS CENTRE,2025-03-06,32.68181818181818,-6.1689,106.7772,33.684326,33.827858176761204,32.840510901058394
160,Taman Patra,2025-03-06,36.78947368421053,-6.2362,106.8326,37.192745,35.48443027602302,34.325584279632494
161,Taman Patra,2025-03-06,36.78947368421053,-6.2362,106.8326,37.236668,35.36758345180088,34.183438985747095
162,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,33.978096,32.94395016653553,33.29458097901512
163,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,33.978096,32.94395016653553,33.29458097901512
164,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,34.39361,33.013540579891696,33.56485403713634
165,Taman Resort Mediterania,2025-03-06,32.08181818181818,-6.12,106.767,34.39361,33.013540579891696,33.56485403713634
166,The RBS - AirVisual Outdoor,2025-03-06,33.27777777777778,-6.2291,106.8024,34.869484,35.44216809272766,34.52054947068079
167,The RBS - AirVisual Outdoor,2025-03-06,33.27777777777778,-6.2291,106.8024,35.535336,35.43128113534715,34.237397526502534
168,US Embassy 1,2025-03-06,19.64034372025229,-6.18254,106.83424,36.795532,35.10448623657227,36.17264552303416
169,US Embassy 1,2025-03-06,19.64034372025229,-6.18254,106.83424,36.301365,35.166059032016335,36.28097579884725
170,US Embassy 2,2025-03-06,21.82600623213059,-6.2367,106.79324,35.86822,35.1803573958079,34.21254940370743
171,US Embassy 2,2025-03-06,21.82600623213059,-6.2367,106.79324,37.108093,35.12424372884962,33.98366190716825
172,US Embassy in Central Jakarta,2025-03-06,33.62916666666667,-6.18254,106.83424,36.795532,35.10448623657227,36.17264552303416
